Accession	Name	No_orfs	Coverage	Abundance	Description
COG0002	ArgC	1	0.948424	0.000432	Acetylglutamate semialdehyde dehydrogenase
COG0004	AmtB	1	0.98533	0.000449	Ammonia permease
COG0005	Pnp	1	0.961832	0.000438	Purine nucleoside phosphorylase
COG0006	PepP	5	4.877604	0.002225	Xaa-Pro aminopeptidase
COG0007	CysG	2	1.946721	0.000888	Uroporphyrinogen-III methylase
COG0008	GlnS	3	2.555084	0.001165	Glutamyl- and glutaminyl-tRNA synthetases
COG0009	SUA5	1	0.862559	0.000393	Putative translation factor (SUA5)
COG0010	SpeB	2	1.931147	0.000881	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family
COG0012	COG0012	1	1	0.000456	Predicted GTPase, probable translation factor
COG0013	AlaS	1	0.992036	0.000452	Alanyl-tRNA synthetase
COG0014	ProA	1	0.997601	0.000455	Gamma-glutamyl phosphate reductase
COG0015	PurB	1	1	0.000456	Adenylosuccinate lyase
COG0016	PheS	1	0.994029	0.000453	Phenylalanyl-tRNA synthetase alpha subunit
COG0018	ArgS	1	0.998266	0.000455	Arginyl-tRNA synthetase
COG0019	LysA	1	1	0.000456	Diaminopimelate decarboxylase
COG0020	UppS	1	0.983673	0.000448	Undecaprenyl pyrophosphate synthase
COG0021	TktA	1	0.989441	0.000451	Transketolase
COG0022	AcoB	1	1	0.000456	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit
COG0024	Map	1	0.984313	0.000449	Methionine aminopeptidase
COG0025	NhaP	1	0.988344	0.00045	NhaP-type Na+/H+ and K+/H+ antiporters
COG0026	PurK	1	0.928	0.000423	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
COG0028	IlvB	5	4.88909	0.00223	Thiamine pyrophosphate-requiring enzymes
COG0029	NadB	1	0.984555	0.000449	Aspartate oxidase
COG0030	KsgA	1	0.969111	0.000442	Dimethyladenosine transferase (rRNA methylation)
COG0031	CysK	2	1.763333	0.000804	Cysteine synthase
COG0033	Pgm	1	0.956106	0.000436	Phosphoglucomutase
COG0034	PurF	1	0.974468	0.000444	Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	Upp	1	0.985714	0.000449	Uracil phosphoribosyltransferase
COG0036	Rpe	1	0.963636	0.000439	Pentose-5-phosphate-3-epimerase
COG0037	MesJ	2	0.885906	0.000404	tRNA(Ile)-lysidine synthase MesJ
COG0038	EriC	1	0.92325	0.000421	Chloride channel protein EriC
COG0039	Mdh	1	1	0.000456	Malate/lactate dehydrogenases
COG0040	HisG	1	0.724137	0.00033	ATP phosphoribosyltransferase
COG0041	PurE	1	0.950617	0.000433	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	COG0042	2	1.904024	0.000868	tRNA-dihydrouridine synthase
COG0044	PyrC	2	1.972093	0.000899	Dihydroorotase and related cyclic amidohydrolases
COG0045	SucC	1	0.997416	0.000455	Succinyl-CoA synthetase, beta subunit
COG0046	PurL	1	0.973082	0.000444	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
COG0047	PurL	1	0.961038	0.000438	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
COG0048	RpsL	1	0.953488	0.000435	Ribosomal protein S12
COG0049	RpsG	1	1	0.000456	Ribosomal protein S7
COG0051	RpsJ	1	0.980769	0.000447	Ribosomal protein S10
COG0052	RpsB	1	1	0.000456	Ribosomal protein S2
COG0054	RibH	1	0.927631	0.000423	Riboflavin synthase beta-chain
COG0055	AtpD	1	1	0.000456	F0F1-type ATP synthase, beta subunit
COG0056	AtpA	1	0.994047	0.000453	F0F1-type ATP synthase, alpha subunit
COG0057	GapA	1	0.997014	0.000454	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0059	IlvC	1	0.994082	0.000453	Ketol-acid reductoisomerase
COG0060	IleS	1	0.997856	0.000455	Isoleucyl-tRNA synthetase
